"A1","A1 Business process management"
"A2","A2 Environment of IT: internal or external"
"A3","A3 IT and culture"
"A4","A4 IT value"
"A5","A5 Organizational design"
"A6","A6 IS usage / IS adoption / IT acceptance"
"A7","A7 Societal issues / Societal impact of IS"
"A8","A8 Sustainability / Green IT/IS"
"B1","B1 End user computing"
"B2","B2 Innovation"
"B3","B3 IS management and planning / IS strategy / IT governance"
"B4","B4 IS staffing"
"B5","B5 Outsourcing and offshoring"
"B6","B6 Project management"
"B7","B7 Security and privacy"
"B8","B8 Virtual teams"
"B9","B9 IT/IS Professional"
"C1","C1 Big data / Data Analytics"
"C2","C2 Business intelligence/ Expert system"
"C3","C3 Cloud computing"
"C4","C4 Databases / Database management systems / Data warehousing"
"C5","C5 IS design and development"
"C6","C6 IS evaluation"
"C7","C7 IS implementation"
"C8","C8 Hardware / Software and programming languages"
"C9","C9 Mobile computing"
"C10","C10 Telecommunications and networking"
"D1","D1 Customer relationship management (CRM)"
"D2","D2 Decision support system & executive IS"
"D3","D3 E-government"
"D4","D4 Electronic commerce / Mobile commerce"
"D5","D5 Enterprise resource planning (ERP)"
"D6","D6 Global information technology (GIT)"
"D7","D7 Group support systems"
"D8","D8 Health information technology"
"D9","D9 Inter-organizational systems"
"D10","D10 IS functional applications"
"D11","D11 Knowledge management"
"D12","D12 Media and communications"
"D13","D13 Social media / Social computing / Social Commerce"
"D14","D14 Social networks"
"D15","D15 Supply chain management"
"E1","E1 IS education"
"E2","E2 IS Theory and Methodology"
"F1","Others but relevant to IM"
"G1","Not relevant"
