"A1","1.Decision Making"
"A2","2.Purchase Behavior/ Purchase Intention & Buying Process"
"A3","3.Consumer Culture"
"A4","4.Self-control and Goals Pursuit"
"A5","5.Social Identity and Influence"
"A6","6.Brand Choice"
"A7","7.Memory and Search"
"A8","8.Persuasion"
"A9","9.Satisfying customers"
"A10","10.Resource constraints: Time, cost, resource"
"B1","1.Online Advertising/ Internet Marketing"
"B2","2.Advertising Effectiveness"
"B3","3.Word-of-mouth"
"B4","4.Visual Communications"
"B5","5.Advertising and Social Media Research"
"B6","6.Brand Identity/ Brand Image"
"B7","7.Brand Experiences/ Trust/ Satisfaction"
"B8","8.Brand Loyalty"
"B9","9.Brand Personality"
"B10","10.Brand Community"
"B11","11.Brand Advertising"
"C1","1.Segmentation"
"C2","2.Direct Marketing"
"C3","3.Pricing"
"C4","4.Marketing Implementation"
"C5","5.Strategic Marketing"
"C6","6.Business-To-Business Marketing"
"C7","7.International Marketing"
"C8","8.Market Orientation"
"C9","9.Brand Equity"
"D1","1.Sales Forecasting"
"D2","2.Sales Promotion"
"D3","3.Personal Selling"
"D4","4.Sales Force Management"
"D5","5.Customer Satisfaction"
"D6","6.Customer Loyalty"
"D7","7.Customer Complaint"
"D8","8.Customer Perceived Value"
"D9","9.Service Quality"
"D10","10.Customer Relationship Management"
"E1","1.Retailing"
"E2","2.Channel Management"
"E3","3.Electronic Commerce"
"E4","4.Marketing Channels"
"F1","1.Scale Development"
"F2","2.Bayesian Methods/ Bayesian Analysis"
"F3","3.Econometrics"
"F4","4.Profit And Cost Analysis"
"F5","5.Marketing-Finance Interface Research"
"F6","6.Other Methods"
"G1","1.Organizational Learning"
"G2","2.Organizational Structure"
"G3","3.HR"
"G4","4.Supply Chain Management"
"H1","1.Coproduction & Idea Generation"
"H2","2.Product/Service Development"
"H3","3.Product Promotion"
"H4","4.Value Creation"
"H5","5.Service Innovation & Technology-enabled Service"
"I1","1.Ethics And Social Responsibility"
"I2","2.Nonprofit and Political Marketing"
"I3","3.Environmental Commerce and Social Marketing"
"I4","4.Social networks"
"I5","5.Theory And Philosophy Of Science"
"I6","6.Market or Industry Analysis"
"I7","7.C2C Marketing"
"J1","Others but relevant to Marketing"
"K1","Not relevant"
